Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
САЛЕХАРД200;rdclin200.shp;152;61;16;13916694;54485;1908;1851;150;1851;228143;25;3,48;0,249;25;
СУРГУТ200;rdclin200.shp;81;15;10;11659022;41916;4564;4413;328;4413;777268;24;4,208;0,301;24;
УСТЮГ200;rdclin200.shp;408;100;11;31529374;163826;1909;1875;118;1875;315294;125;3,216;0,23;125;
УФА200;rdclin200.shp;778;235;13;0;5;0;0;0;0;0;175;3,223;0,23;175;
ВОРОНЕЖ500;rdclin500.shp;56;16;14;2980883;18294;2247;2125;167;2137;186305;9;5;0,385;9;
ГРОЗНЫЙ500;rdclin500.shp;218;76;12;107751830;135476;5415;5050;516;5055;1496553;12;4,667;0,359;12;
МОСКВА500;rdclin500.shp;91;45;5;14742480;58327;4924;4905;125;4905;359573;12;4,583;0,353;12;
ПЕТРОЗАВОДСК500;rdclin500.shp;112;38;6;16957250;54208;3406;3343;184;3343;446243;17;3,765;0,29;17;
РОСТОВ-ДОН500;rdclin500.shp;106;10;5;3898117;32277;4333;4303;133;4303;433124;44;3,568;0,274;44;
САЛЕХАРД500;rdclin500.shp;2;0;0;0;556;0;0;0;0;0;1;13;1;1;
СУРГУТ500;rdclin500.shp;2;0;0;0;1117;0;0;0;0;0;1;13;1;1;
УСТЮГ500;rdclin500.shp;47;14;5;4239441;31806;2596;2574;122;2574;302817;11;4,364;0,336;11;
УФА500;rdclin500.shp;106;26;12;7925664;32785;2280;2009;238;2046;304833;11;5;0,385;11;
ВОРОНЕЖ1000;rdclin1000.shp;4;2;31;59983;1083;744;721;82;721;29991;1;13;1;1;
ГРОЗНЫЙ1000;rdclin1000.shp;7;1;2;3232;1922;799;799;8;799;3232;3;6,333;0,487;3;
МОСКВА1000;rdclin1000.shp;6;2;1;1543;1448;724;724;2;724;772;2;8;0,615;2;
ПЕТРОЗАВОДСК1000;rdclin1000.shp;247;119;3;55903579;78383;4823;4759;193;4759;469778;22;3,5;0,269;22;
РОСТОВ-ДОН1000;rdclin1000.shp;19;5;8;67943;4196;704;699;30;699;13589;7;4,429;0,341;7;
САЛЕХАРД1000;rdclin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
СУРГУТ1000;rdclin1000.shp;2;0;0;0;362;0;0;0;0;0;1;13;1;1;
УСТЮГ1000;rdclin1000.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
